Song,Artist,Album,Cover Art,Year Released
Miss-Indpendent,Ne-Yo,Ne-yo year of the Gentleman,cmu://1012228/42395091/1900x1900-000000-80-0-0.jpg,2018
Wiseman,Frank Ocean,Blonde,"cmu://1012228/42395151/61vQZ0q97IL._AC_UF894,1000_QL80_.jpg",2012
The Beach,GIVEON,When its all said and done.. take time,cmu://1012228/42395383/1900x1900-000000-80-0-0+(1).jpg,2020
Lemonade,Beyonce,Lemonade,cmu://1012228/42610601/download+(4).jpg,2016
Damn,Kendrick Lamar,Damn,cmu://1012228/42395643/download.jpg,2017
V.S.O.P,K.Michelle,Rebellious Soul,cmu://1012228/42395747/artworks-Iox8kVxOghY9-0-t500x500.jpg,2013
Without You,"David Guetta, USHER",The singles collection,mu://1012228/42395843/download+(1).jpg,2011
Ki Moun Ou Ye,Teddy Hashtag,Ready,cmu://1012228/42395863/download+(2).jpg,2025
Headlock,Imogen Heap,Speak for Yourself,cmu://1012228/42444416/images.jpg,2005
Special,SZA,sos,cmu://1012228/42444493/download+(3).jpg,2022